anime_id,members
2213,35085
2214,13289
2215,6776
2216,120836
2221,8569
2222,15399
2223,2887
2224,5529
2225,36389
2226,830
2227,6602
2228,5239
2229,23509
2230,5635
2231,4215
2232,1345
2233,1297
2234,2402
2243,2664
2244,2355
2245,5619
2246,316773
2251,889525
2252,31483
2253,17350
2254,5396
2255,5432
2257,5727
2259,4612
2280,1477
2281,9638
2282,1992
2283,4098
2284,5231
2285,4896
2287,5024
2288,7697
2308,4791
2316,2125
2330,13205
2331,5796
2333,5116
2335,9016
2337,5382
2361,5622
2362,2636
2363,31706
2364,4761
2366,1140
2367,28239
2369,61221
2382,1531
2383,10446
2389,10116
2390,32457
2391,8800
2400,13598
2402,88111
2403,110265
2404,137636
2405,4183
2406,8079
2409,15362
2415,4851
2416,2573
2451,22344
2467,2702
2471,60800
2476,652276
2484,3618
2486,7330
2487,2148
2489,15624
2494,97199
2495,5822
2501,1793
2503,1085
2508,82117
2510,3143
2518,3294
2521,3159
2523,12570
2542,10260
2543,8750
2544,6643
2545,2005
2546,4207
2547,20218
2548,8959
2549,6136
2552,2672
2553,7576
2554,5614
2555,4457
2556,4901
2557,8168
2558,6505
2559,48771
2561,4934
2562,31777
2564,18153
2565,2786
2566,996
2567,2169
2568,975
2569,7272
2570,2980
2571,9741
2572,3427
2573,2612
2574,2117
2575,1238
2576,3176
2577,8903
2578,1239
2579,5317
2581,216395
2582,24247
2595,36489
2596,149005
2598,6697
2602,38727
2603,16633
2604,23920
2605,339314
2608,41985
2609,6280
2612,2205
2613,2314
2618,19795
2619,9474
2620,4810
2624,2193
2679,1979
2683,37780
2684,8916
2686,3441
2687,1043
2688,5594
2694,4136
2699,2863
2700,1557
2701,390
2702,1453
2703,5663
2704,4828
2705,11073
2706,6331
2707,1323
2708,362
2709,3944
2713,6331
2716,2180
2717,4116
2718,2199
2719,4835
2723,3279
2727,3393
2732,974
2735,584
2736,2606
2738,653
2740,1764
2741,955
2742,618
2744,16733
2747,12206
2748,5425
2749,1362
2757,2293
2758,1575
2762,10891
2766,4169
2769,1893
2771,2309
2772,27047
2781,3152
2783,1951
2786,3609
2787,305109
2789,13440
2795,75443
2799,6248
2800,30277
2803,4375
2804,3078
2805,1243
2806,1753
2809,659
2810,5861
2813,5944
2814,1118
2815,1764
2816,5822
2817,8018
2818,2606
2819,6520
2820,2408
2822,869
2823,2853
2824,1305
2825,7163
2826,2613
2827,4124
2828,15264
2829,20217
2834,5288
2835,8098
2836,3656
2882,2411
2885,1591
2892,2140
2903,13901
2904,1729722
2907,8815
2912,2769
2913,2872
2916,1442
2921,49292
2923,215649
2924,252654
2926,184426
2927,89323
2929,5035
2930,336
2931,15361
2933,2652
2934,3429
2938,5920
2942,29983
2963,170538
2964,30425
2965,9999
2966,797497
2970,36319
2980,1670
2985,66638
2986,87753
2987,4539
2993,673278
3000,9975
3001,72264
3002,345075
3006,5204
3008,5130
3009,10340
3010,11973
3012,6742
3020,1159
3021,3064
3022,1401
3023,2281
3024,5255
3035,3282
3036,2501
3044,13752
3053,9427
3054,2709
3059,4844
3073,401
3075,1610
3077,6560
3079,6645
3081,7292
3091,140629
3092,250815
3098,2025
3099,2225
3101,9301
3104,1749
3110,3901
3112,4392
3114,1259
3116,2157
3125,9437
3129,1446
3130,1459
3131,942
3132,1316
3136,3291
3137,5134
3146,3847
3151,1397
3159,3475
3162,3955
3164,590
3166,28974
3176,1939
3180,551
3182,2369
3185,2292
3193,3446
3194,1759
3196,3032
3199,5919
3201,972
3202,2961
3205,4216
3213,2799
3225,71761
3226,64307
3228,130467
3229,117088
3230,117240
3231,60089
3243,358
3251,596
3259,1992
3264,1634
3270,20174
3271,3258
3272,12136
3281,3661
3285,3309
3290,1087
3294,1060
3295,4735
3297,125750
3298,37297
3299,95236
3305,3727
3312,17805
3313,1986
3315,1431
3317,1663
3322,32278
3325,2841
3327,6136
3332,10127
3335,6421
3342,181579
3345,3091
3349,17688
3355,1298
3356,4331
3358,89186
3359,57276
3361,1187
3363,26777
3366,81659
3369,9872
3372,377
3388,3467
3389,27641
3391,3891
3399,2708
3407,81849
3414,423
3418,2835
3420,90439
3424,3135
3425,1759
3432,1914
3433,1047
3434,1467
3435,1565
3436,922
3437,4894
3438,4403
3444,3401
3451,530
3455,627768
3457,592708
3458,738
3460,1983
3464,41503
3467,132982
3470,360984
3486,3217
3493,6618
3500,403
3501,5268
3503,246460
3505,2377
3514,1162
3519,2139
3545,18107
3549,42310
3550,2109
3561,2671
3568,3550
3571,4133
3572,144958
3573,1260
3576,25663
3577,28414
3579,7963
3588,1587732
3594,78402
3604,31671
3609,2633
3613,73270
3614,18954
3615,37291
3616,40969
3619,2260
3627,29682
3630,956
3631,2094
3637,1090
3638,3510
3653,42432
3654,42919
3655,164686
3656,59165
3660,3219
3667,168659
3668,9085
3670,9231
3672,3351
3673,34161
3676,2125
3683,810
3689,1066
3690,1142
3691,1493
3692,10852
3701,148090
3704,1134
3710,11759
3712,439186
3713,101386
3723,958
3724,1144
3731,278010
3736,4302
3737,6804
3738,5017
3750,22192
3754,2971
3761,3259
3765,1779
3768,1091
3769,625
3772,4757
3776,998
3800,2161
3806,1801
3807,3563
3808,1092
3809,3599
3810,1696
3811,2181
3812,921
3819,1990
3822,972
3823,1006
3825,1212
3827,1726
3834,820
3835,2536
3836,3502
3837,2996
3838,1218
3839,1107
3840,16691
3841,63656
3844,1067
3845,927
3846,784
3858,3367
3859,19215
3869,706
3870,1093
3873,1236
3874,2224
3875,1660
3876,1183
3877,1742
3878,2339
3879,1365
3880,1435
3881,1416
3885,1188
3900,2488
3907,15287
3909,918
3915,2645
3927,148744
3932,1297
3935,2021
3936,1269
3937,511
3947,1399
3958,166984
3969,1310
3972,138226
3974,94974
3975,785
4013,1110
4021,38024
4023,2451
4024,1902
4025,1545
4028,37000
4038,46057
4039,41879
4044,2048
4049,1062
4050,3787
4051,2202
4052,20014
4054,929
4056,2948
4060,4827
4061,2678
4062,2656
4063,402098
4066,19311
4067,2930
4068,2194
4073,1323
4080,34116
4081,527595
4083,1179
4086,2789
4087,196611
4088,1187
4101,1124
4104,734
4113,2008
4114,5542
4119,2279
4121,836
4132,1507
4151,67908
4154,2125
4181,1165515
4183,1432
4186,209784
4189,23696
4191,3437
4192,113774
4196,66856
4197,17639
4198,3418
4199,1769
4208,2252
4209,5907
