anime_id,demographic
3550,Shounen
5440,
15905,
4021,Shoujo
2369,
3098,
35540,
5307,
1778,
998,Seinen
10210,
1929,
3185,
2815,Kids
2938,
17917,Kids
33573,
7081,Kids
11783,
1045,Shounen
2624,
1179,
31737,
1592,Seinen
508,Kids
22687,Seinen
41226,
21085,Seinen
19383,
36726,Shounen
10372,Seinen
6262,
1792,
2604,
3616,Shounen
12175,
36548,Seinen
4662,Josei
10370,Kids
284,Shounen
1236,
1493,Shounen
32313,
6747,Seinen
384,Seinen
3299,
247,
11785,
605,
16742,
5830,Kids
2415,Kids
3455,Shounen
4183,
41312,
5968,
8410,Kids
3424,
907,Shoujo
941,
39463,Seinen
10507,
2130,Shounen
30383,
50281,
3312,Shounen
52214,
456,
1025,
32899,Shoujo
41530,
31722,Shounen
12281,
37569,
34825,Seinen
9013,
39531,Seinen
33003,
3162,
52614,Shounen
30307,Seinen
35484,
8769,
35994,
20047,Seinen
8057,
2554,
230,Seinen
3079,
6901,
1962,
45782,
2819,Shounen
33203,Shoujo
598,Shounen
34009,
965,
754,
3667,
1573,Shounen
31815,
9712,
4086,
48252,Seinen
24211,Josei
34754,
48,
31080,
1550,Shoujo
36873,Seinen
1668,Shounen
41266,Seinen
750,
3116,Kids
5071,Kids
859,
32212,
3947,Seinen
30030,
9776,
8,Shounen
291,
1726,
3012,
40610,
2389,
24909,Kids
36536,
12321,Seinen
343,Seinen
39942,
4415,
3505,
5967,
8140,
2980,
48239,
4807,
7761,
2741,Shounen
3656,
40483,
1546,
162,Shounen
37221,
52461,
44037,
3858,
157,Shounen
2223,
1137,
4936,Shounen
5520,
325,Shoujo
1492,Shounen
3493,
5203,
116,
40586,
3631,
12293,
3561,
13163,Kids
26453,
52046,
7768,
32881,Shounen
33478,Shounen
1249,
45613,
48675,Shounen
32686,Shounen
3654,
16910,Shounen
621,
1093,Seinen
13659,
14749,
525,
27655,
1186,
38062,
9314,
127,
243,Shoujo
2705,Kids
751,
16157,
1848,
3159,Shounen
53379,
9331,
1707,
39017,Shounen
34338,
48417,
3827,Shounen
28617,
1710,
8542,Shoujo
1864,Shoujo
44516,Josei
3653,Seinen
50012,Shounen
39948,Shounen
31559,
11227,
419,Shounen
4214,Shounen
1104,
579,
2390,
33037,
2716,Shounen
4088,
1837,Shounen
30355,
15489,Shounen
28423,Shounen
229,
41345,
32962,
34034,Kids
34927,
42205,Shounen
789,
303,
5342,
3407,
33475,Shounen
38161,
3359,Josei
37206,
50985,
22189,
2165,
38235,
12963,
30375,
174,Seinen
28835,
37722,
3196,
32230,
39710,Seinen
2157,
39388,
5962,Kids
50586,Seinen
2363,Kids
37202,
19365,
31229,Josei
21671,Shounen
3356,Shoujo
3388,
9693,
37926,
800,Shounen
561,
538,
623,
873,
11457,Shoujo
2595,
29589,Shounen
1022,
16726,
3710,
40359,
21407,
636,
3737,
3457,Shoujo
308,
5039,Seinen
31442,
50923,Josei
39539,Seinen
592,
11835,
33019,
1214,Seinen
49819,
53494,
8394,Shounen
10155,
16385,
3053,Kids
5155,
21431,Seinen
31068,
37210,
36793,Shoujo
7817,Seinen
956,
1068,
17827,
126,
37259,Seinen
3689,
3811,
20945,
32555,
1587,
968,Seinen
42963,Shounen
3935,
11079,
36982,Kids
4411,
23201,
5914,
3349,
3436,Kids
6509,Kids
38301,
6324,Shounen
35905,
48761,
244,
1844,Shoujo
16512,
1448,
29785,Shounen
2598,
3129,
1568,Seinen
11837,Seinen
42385,
14355,
49263,
2404,Shounen
21511,
53163,Shounen
17741,Shounen
1578,Shoujo
1502,
23945,Shounen
53077,
6973,
10014,
36864,Josei
2579,Kids
27727,
3690,
35928,Seinen
36049,Shounen
51417,
4240,
4935,Kids
10359,
2556,
2772,Shounen
1672,
37496,
30544,
32607,
1465,Seinen
2804,
6008,
9906,
31680,
4208,
36432,
33023,
33421,
33240,
53848,Shounen
50010,Shounen
4151,Seinen
19831,
196,
13377,Seinen
677,
143,Shounen
51213,Shounen
169,
30363,
1517,
12191,
44881,Shounen
33371,Seinen
11285,
1675,
4554,Shounen
4334,
5534,
3285,Shoujo
24133,
18677,
4066,
3077,Seinen
5140,Kids
4073,
38256,
1469,
3313,
3615,Josei
2221,Shoujo
293,
28221,
9367,Seinen
40803,
3130,Kids
40148,
109,
38020,
32866,
2684,
13145,
43735,
9028,
11809,
8630,
115,
1603,
35589,
4548,Shounen
7904,
