anime_id,genres
38668,Horror
1974,Drama
8425,Drama
8425,Mystery
8425,Romance
38993,Comedy
237,Adventure
237,Drama
237,Romance
237,Sci-Fi
31251,Action
31251,Drama
31251,Sci-Fi
41402,Comedy
41402,Fantasy
1559,Action
1559,Comedy
34822,Romance
2164,Adventure
2164,Award Winning
2164,Drama
2164,Mystery
2164,Sci-Fi
18679,Action
18679,Comedy
18679,Ecchi
2034,Comedy
2034,Romance
25013,Action
25013,Adventure
25013,Fantasy
25013,Romance
37870,
889,Action
36456,Action
72,Action
72,Comedy
2004,Comedy
2004,Drama
2004,Slice of Life
2004,Supernatural
1482,Action
1482,Adventure
1482,Fantasy
589,Action
589,Adventure
589,Drama
153,Action
153,Adventure
153,Fantasy
1914,Adventure
1914,Fantasy
1914,Romance
42923,Sports
535,Action
535,Adventure
535,Comedy
535,Fantasy
16049,Action
16049,Fantasy
16049,Sci-Fi
6211,Award Winning
6211,Drama
14813,Comedy
14813,Romance
40174,Comedy
40174,Supernatural
27663,Sports
7054,Comedy
7054,Romance
14513,Action
14513,Adventure
14513,Fantasy
44235,Comedy
49782,Fantasy
49782,Mystery
16706,Comedy
16706,Romance
16706,Supernatural
6045,Drama
6045,Romance
35788,Gourmet
35788,Ecchi
1065,Drama
1065,Romance
1065,Sports
66,Comedy
2167,Drama
2167,Romance
2167,Supernatural
4789,Drama
4789,Mystery
4789,Romance
4789,Supernatural
16,Comedy
16,Drama
16,Romance
27989,Drama
9996,
39468,Fantasy
20,Action
20,Adventure
20,Fantasy
50346,Romance
50346,Supernatural
861,Comedy
861,Drama
861,Mystery
861,Supernatural
23199,Action
23199,Mystery
23199,Supernatural
40716,Comedy
9656,Drama
9656,Romance
40397,Comedy
40397,Fantasy
846,Comedy
846,Romance
53199,Action
53199,Sci-Fi
77,Action
77,Comedy
77,Drama
77,Fantasy
16067,Drama
16067,Fantasy
16067,Romance
46422,Fantasy
46422,Romance
7720,Sports
30015,Drama
30015,Romance
35790,Action
35790,Adventure
35790,Drama
35790,Fantasy
42249,Action
42249,Drama
42249,Supernatural
31173,Drama
31173,Fantasy
31173,Romance
42250,Comedy
42250,Supernatural
27831,Action
27831,Mystery
27831,Supernatural
387,Drama
387,Fantasy
387,Mystery
39570,Comedy
223,Action
223,Adventure
223,Comedy
223,Fantasy
967,Action
967,Drama
967,Sci-Fi
33206,Fantasy
33206,Slice of Life
25879,Comedy
25879,Romance
32615,Action
32615,Fantasy
996,Adventure
996,Comedy
996,Drama
996,Fantasy
996,Romance
1530,Drama
1530,Romance
1530,Supernatural
5678,Comedy
5678,Drama
5678,Fantasy
5678,Romance
41169,Slice of Life
20507,Action
20507,Fantasy
36949,Gourmet
36949,Ecchi
2076,Mystery
10721,Avant Garde
10721,Comedy
10721,Drama
10721,Mystery
10721,Supernatural
17549,Slice of Life
10049,Action
10049,Supernatural
31174,Comedy
5682,Action
5682,Drama
5682,Suspense
2618,Adventure
2618,Drama
2618,Mystery
35968,Romance
54790,Fantasy
54790,Mystery
38084,Action
38084,Fantasy
38084,Supernatural
122,Comedy
122,Drama
122,Romance
122,Supernatural
269,Action
269,Adventure
269,Fantasy
21855,Comedy
21855,Mystery
21855,Supernatural
38337,Slice of Life
11239,Slice of Life
38080,Drama
38080,Romance
15689,Comedy
15689,Romance
15689,Supernatural
15689,Ecchi
52347,Action
52347,Adventure
52347,Fantasy
18179,Sports
658,Suspense
15,Sports
73,Action
11739,Comedy
11739,Romance
427,Comedy
427,Drama
427,Fantasy
6774,Drama
12031,Action
17265,Action
17265,Adventure
17265,Fantasy
37675,Action
37675,Adventure
37675,Fantasy
29803,Action
29803,Adventure
29803,Fantasy
27775,Drama
27775,Romance
27775,Sci-Fi
48580,Action
48580,Fantasy
48580,Mystery
51552,Drama
51552,Fantasy
51552,Romance
28,Comedy
28,Gourmet
30279,Comedy
30279,Girls Love
14075,Action
14075,Drama
14075,Fantasy
14075,Mystery
1470,Action
1470,Comedy
1470,Mystery
38408,Action
790,Mystery
790,Sci-Fi
35222,Slice of Life
3907,Adventure
3907,Romance
3907,Sci-Fi
9289,Drama
7062,Slice of Life
13331,Action
13331,Adventure
85,Drama
85,Romance
85,Sci-Fi
48926,Comedy
27947,Action
27947,Adventure
27947,Comedy
27947,Mystery
1088,Action
1088,Romance
1088,Sci-Fi
28297,Comedy
28297,Romance
114,Comedy
12815,Comedy
12815,Slice of Life
37786,Drama
37786,Girls Love
32995,Award Winning
32995,Sports
3228,Comedy
41389,Comedy
41389,Romance
31098,Action
31098,Adventure
31098,Supernatural
532,Fantasy
532,Romance
2924,Drama
2924,Mystery
2924,Romance
31339,Action
31339,Adventure
31339,Comedy
31339,Fantasy
2829,Adventure
2829,Drama
2829,Slice of Life
14719,Action
14719,Adventure
14719,Supernatural
49828,Action
49828,Sci-Fi
3572,Action
3572,Award Winning
3572,Romance
3572,Sci-Fi
957,Adventure
957,Fantasy
957,Romance
24,Comedy
24,Romance
10080,Comedy
10080,Romance
10080,Supernatural
1695,Drama
36563,Sci-Fi
36563,Sports
2159,Sports
20057,Comedy
20057,Sci-Fi
2158,Action
2158,Drama
2158,Sci-Fi
31964,Action
7645,Action
7645,Comedy
7645,Fantasy
36028,Action
36028,Adventure
934,Horror
934,Mystery
934,Supernatural
36593,Action
