anime_id,studios
36754,Gonzo
250,Toei Animation
42590,Shin-Ei Animation
340,Studio Comet
36038,Signal.MD
51105,A-1 Pictures
24135,Fuji TV
11371,Production I.G
11371,M.S.C
50221,Studio Kai
6802,A-1 Pictures
33089,Yaoyorozu
1087,Pierrot
22817,Toei Animation
7627,Bridge
2112,Xebec
708,Telecom Animation Film
209,J.C.Staff
3369,Toei Animation
32828,TMS Entertainment
2214,Tezuka Productions
455,Nippon Animation
41120,CloverWorks
21327,Brains Base
53621,Studio Signpost
567,Sunrise
8937,J.C.Staff
10033,Toei Animation
177,Bee Train
40590,White Fox
691,Madhouse
1563,TMS Entertainment
23135,Tatsunoko Production
23135,Dongwoo A&E
6347,SILVER LINK.
43756,Zexcs
50248,Bandai Namco Pictures
1251,Gainax
14131,Actas
4039,The Answer Studio
41694,LIDENFILMS
37497,P.A. Works
103,Gallop
4981,Madhouse
4981,Tatsunoko Production
20031,Brains Base
8086,Zexcs
31376,J.C.Staff
2026,SynergySP
2405,Toei Animation
2002,Xebec
914,Grouper Productions
10216,Production I.G
37976,MAPPA
53879,Diomedéa
50590,Bandai Namco Pictures
5274,Toei Animation
1212,Hal Film Maker
10588,AIC ASTA
34134,J.C.Staff
6634,Production I.G
6773,J.C.Staff
2562,Studio Deen
46093,P.A. Works
52308,Typhoon Graphics
218,Xebec
38804,Tatsunoko Production
40879,Sunrise
5249,Tezuka Productions
50663,Kamikaze Douga
50663,Space Neko Company
31821,LIDENFILMS
54743,Geek Toys
31706,SILVER LINK.
23269,Studio Gokumi
50197,OLM
3470,Gonzo
3470,AIC
52736,Diomedéa
1642,Pierrot
34984,Wit Studio
51958,Drive
10790,Studio Deen
35241,Lerche
12487,Sunrise
26243,Wit Studio
38659,White Fox
857,Toei Animation
9919,A-1 Pictures
1050,Toei Animation
3213,Toei Animation
21273,White Fox
551,Group TAC
270,Gonzo
379,J.C.Staff
3092,Studio Deen
12291,AIC
15061,Sunrise
15061,Bandai Namco Pictures
35015,Fanworks
35015,Imagineer
11111,P.A. Works
21743,Doga Kobo
226,Arms
17729,8bit
15451,TNK
37614,C2C
40540,A-1 Pictures
2608,A.C.G.T.
481,Gallop
29,Studio Deen
10568,J.C.Staff
2227,Toei Animation
22693,Studio Comet
22693,Zexcs
13655,J.C.Staff
40504,OLM
23277,A-1 Pictures
37426,MAPPA
37426,Lapin Track
142,Toei Animation
727,Toei Animation
35828,8bit
36522,Haoliners Animation League
38555,SILVER LINK.
10378,Diomedéa
22199,White Fox
587,Group TAC
39049,Nomad
14227,Brains Base
53833,Platinum Vision
16005,Manglobe
5712,Telescreen
2820,Ashi Productions
1459,Tatsunoko Production
1651,Group TAC
3317,Nippon Animation
18497,Tatsunoko Production
435,Tokyo Movie Shinsha
352,Toei Animation
351,Toei Animation
34262,Bridge
53876,OLM
5671,Gonzo
5671,Picture Magic
3420,J.C.Staff
15793,Satelight
51215,Diomedéa
22147,Kyoto Animation
1069,Sunrise
1069,Toei Animation
48542,PINE JAM
40454,J.C.Staff
287,Group TAC
2987,Sunrise
1852,Shaft
36220,Lay-duce
50854,C2C
1391,Sunrise
35821,Diomedéa
1663,Nippon Animation
8217,Studio Comet
12679,J.C.Staff
16524,Production I.G
8726,Shaft
37475,LIDENFILMS
37984,Millepensee
39491,Production I.G
327,Gainax
327,AIC
355,J.C.Staff
8407,AIC ASTA
50287,Madhouse
334,Toei Animation
15315,Diomedéa
30296,SILVER LINK.
30296,Nexus
166,Gonzo
879,Studio Deen
21573,Satelight
102,TMS Entertainment
1614,Group TAC
13349,TYO Animations
33731,Doga Kobo
49930,J.C.Staff
40685,Studio Kai
2257,Sunrise
28979,Xebec
3036,Group TAC
44191,Toei Animation
3972,Gallop
200,TMS Entertainment
3613,Production I.G
11319,J.C.Staff
48643,Project No.9
333,Sunrise
593,Sunrise
37890,8bit
8476,J.C.Staff
490,Shaft
490,GANSIS
37975,Gaina
30736,MAPPA
6573,Bones
30694,Toei Animation
50002,J.C.Staff
18465,Production I.G
13115,Studio Deen
39730,Doga Kobo
40842,Lerche
14467,GoHands
1327,Toei Animation
32696,Pierrot Plus
8215,Gallop
37349,White Fox
2409,Trans Arts
24703,TNK
3731,TMS Entertainment
9938,Satelight
40870,Trigger
49980,J.C.Staff
696,AIC
3974,A-1 Pictures
13663,Xebec
16011,8bit
1579,Yumeta Company
98,Sunrise
10257,Tatsunoko Production
16123,Studio Gokumi
30187,TROYCA
18523,Ordet
18523,LIDENFILMS
9834,Pierrot
9834,David Production
15051,Sunrise
76,Seven Arcs
48483,Passione
10620,asread.
35078,SILVER LINK.
3199,Nippon Animation
64,Nomad
2903,Toei Animation
2596,Production I.G
8557,Diomedéa
5262,Satelight
11433,J.C.Staff
40904,feel.
36934,David Production
25183,Manglobe
2749,Nippon Animation
10793,Production I.G
14289,Zexcs
5141,J.C.Staff
3672,Pierrot
33094,A-1 Pictures
50710,David Production
1840,J.C.Staff
16417,Kyoto Animation
156,Madhouse
5075,Sunrise
20785,Madhouse
14527,Gainax
54301,TROYCA
23281,Tatsunoko Production
1608,JCF
2923,Satelight
59,Madhouse
51586,SANZIGEN
5684,Toei Animation
364,TMS Entertainment
364,Tokyo Kids
364,Minami Machi Bugyousho
242,Madhouse
4060,Nippon Animation
42994,Nomad
22729,A-1 Pictures
22729,TROYCA
31580,Polygon Pictures
11235,AIC
586,Toei Animation
6093,Pierrot
505,Hal Film Maker
134,Madhouse
25731,Sunrise
15613,Studio Deen
38472,Studio PuYUKAI
34012,SILVER LINK.
47159,Yokohama Animation Lab
183,Studio Comet
181,Gonzo
4416,Sunrise
40908,Ajia-do
1590,Gallop
32526,Sunrise
36565,OLM
19291,OLM
165,Bones
34494,P.A. Works
2942,Hal Film Maker
38959,TROYCA
11933,Madhouse
11933,Studio Gokumi
527,OLM
573,Studio Junio
167,Bones
38787,Connect
5233,J.C.Staff
2548,Nippon Animation
2225,Nippon Animation
41587,Bones
37597,CloverWorks
52505,OLM
344,Group TAC
54103,Project No.9
11013,David Production
17080,Xebec
17080,I.Gzwei
25,Gonzo
1728,Pierrot
2014,Studio Deen
2203,Toei Animation
50552,TMS Entertainment
25519,Studio Gokumi
113,Xebec
42587,Studio Gokumi
489,Brains Base
53040,SynergySP
31798,Trigger
1972,Gallop
1972,TMS Entertainment
40496,SILVER LINK.
20541,Doga Kobo
1060,Gainax
1060,Group TAC
2084,Ashi Productions
1873,Kaname Productions
42391,Pierrot
6056,Unknown
130,Pierrot
131,Pierrot
2216,Madhouse
52082,Doga Kobo
35756,Nexus
40056,Nut
33028,Lerche
501,Unknown
1684,Shaft
35889,Satelight
6895,Studio Deen
2228,Animation 21
1292,Gonzo
2813,Telescreen
2036,Nippon Animation
2553,Nippon Animation
39586,David Production
39988,Studio PuYUKAI
2757,Shaft
798,J.C.Staff
763,Xebec
15911,Kinema Citrus
2204,TMS Entertainment
38992,Zero-G
50185,LIDENFILMS
168,Sunrise
1878,TMS Entertainment
1454,Madhouse
44204,Brains Base
40513,Sunrise
27787,Shaft
20709,Pierrot Plus
23421,Lerche
47790,SILVER LINK.
47790,Studio Palette
12149,Satelight
24037,J.C.Staff
33506,A-1 Pictures
18893,SANZIGEN
40060,Trigger
23311,MAPPA
506,Eiken
32648,Diomedéa
714,Gallop
714,Studio Comet
30344,A-1 Pictures
4654,J.C.Staff
38005,David Production
10798,Bones
53698,Lerche
92,Sunrise
8841,Studio Deen
2040,Ashi Productions
2044,Pierrot
2834,Unknown
4062,Eiken
50461,ENGI
238,Pierrot
34102,David Production
3006,Shin-Ei Animation
40004,Silver
40004,Arvo Animation
53439,A.C.G.T.
2116,Tsuchida Productions
54803,Studio Kai
5267,Tokyo Movie Shinsha
2330,Trans Arts
34787,Tatsunoko Production
34787,Dongwoo A&E
50685,LIDENFILMS Kyoto Studio
3549,Madhouse
38753,Lay-duce
1589,Palm Studio
55310,A-1 Pictures
68,Gonzo
18507,Kyoto Animation
18507,Animation Do
15863,Doga Kobo
15863,Orange
48857,Studio 3Hz
38476,C-Station
11617,TNK
33241,Fanworks
33490,Shin-Ei Animation
9893,Toei Animation
10232,TYO Animations
970,Azeta Pictures
3712,J.C.Staff
52173,Zero-G
52173,Liber
3358,Brains Base
3225,asread.
54883,Bandai Namco Pictures
30016,Satelight
616,Gallop
350,Toei Animation
18041,Studio Deen
38759,Doga Kobo
5355,Production I.G
2039,Pierrot
52973,Tezuka Productions
4114,Studio Comet
13599,Production I.G
10884,Studio Gokumi
2758,Sunrise
40902,J.C.Staff
2555,Nippon Animation
50,AIC
2817,Tatsunoko Production
29067,Seven
1858,ufotable
48649,Studio Kai
21681,Madhouse
35376,Doga Kobo
1021,Studio Hibari
2337,Palm Studio
5832,Toei Animation
764,Xebec
198,Gonzo
34086,ufotable
944,Xebec
3009,Toei Animation
48471,Arvo Animation
1744,Studio Hibari
35249,P.A. Works
2544,Nippon Animation
3272,Toei Animation
16353,Doga Kobo
2818,Sunrise
5953,Ashi Productions
38483,Connect
36652,Gaina
43470,Zero-G
5984,David Production
5909,Studio Deen
7662,Bee Train
2986,AIC ASTA
653,Madhouse
31500,Production IMS
49438,Diomedéa
49520,Felix Film
280,Gallop
1536,Xebec
53613,Geek Toys
42192,J.C.Staff
52081,C2C
476,Karaku
14811,Doga Kobo
36884,Bones
32105,Pierrot
33654,Encourage Films
34863,Doga Kobo
17505,Seven Arcs Pictures
2489,Studio Comet
33983,Studio M2
161,Gonzo
16009,Madhouse
483,Bones
1426,Tokyo Movie Shinsha
519,J.C.Staff
158,Studio Deen
5273,Unknown
272,Bee Train
42826,Diomedéa
959,Nippon Animation
8676,AIC
14345,Madhouse
1886,J.C.Staff
1886,Hal Film Maker
36317,DLE
33362,C-Station
6381,AIC Spirits
13333,P.A. Works
27,Gonzo
