anime_id,theme
9996,Visual Arts
39468,Isekai
39468,Reincarnation
20,Martial Arts
50346,Vampire
861,
23199,
40716,Childcare
40716,Gag Humor
40716,Otaku Culture
9656,School
40397,Mythology
846,Gag Humor
846,Love Polygon
846,School
53199,Mecha
53199,School
53199,Space
77,Mahou Shoujo
16067,Love Polygon
46422,Anthropomorphic
7720,Team Sports
30015,School
35790,Isekai
42249,Delinquents
42249,Time Travel
31173,
42250,
27831,
387,Psychological
39570,Love Polygon
39570,Romantic Subtext
39570,School
39570,Video Game
223,Martial Arts
223,Super Power
967,Gore
967,Martial Arts
967,Super Power
33206,
25879,Workplace
32615,Isekai
32615,Military
32615,Reincarnation
996,Mahou Shoujo
1530,
5678,
41169,Idols (Female)
41169,Music
41169,School
20507,Mythology
36949,School
2076,
10721,Psychological
17549,CGDCT
17549,Iyashikei
17549,School
10049,Mythology
31174,Gag Humor
31174,Parody
5682,Organized Crime
2618,Historical
35968,Adult Cast
35968,Otaku Culture
35968,Workplace
54790,Adult Cast
54790,Detective
54790,Historical
54790,Vampire
38084,Isekai
122,Music
269,
21855,
38337,CGDCT
38337,Iyashikei
38337,Workplace
11239,CGDCT
11239,Iyashikei
11239,School
11239,Visual Arts
38080,Music
38080,Performing Arts
38080,School
15689,
52347,Video Game
18179,Racing
658,Adult Cast
658,High Stakes Game
658,Organized Crime
658,Psychological
658,Strategy Game
15,Team Sports
73,Mecha
73,Military
11739,School
427,Performing Arts
6774,Medical
6774,Psychological
12031,Historical
12031,Military
17265,Adult Cast
17265,Video Game
37675,Isekai
29803,Isekai
27775,
48580,Historical
48580,Vampire
51552,Adult Cast
51552,Historical
28,
30279,CGDCT
30279,Gag Humor
30279,School
14075,Psychological
1470,
38408,School
38408,Super Power
790,Adult Cast
790,Psychological
35222,Childcare
35222,Iyashikei
35222,School
3907,Space
9289,Workplace
7062,CGDCT
7062,Iyashikei
7062,School
7062,Visual Arts
13331,Organized Crime
85,Mecha
85,Military
85,Space
48926,Romantic Subtext
48926,School
27947,Adult Cast
1088,Mecha
1088,Military
1088,Music
1088,Space
28297,
114,Delinquents
114,Gag Humor
114,School
12815,Anthropomorphic
12815,Gag Humor
12815,Iyashikei
12815,Workplace
37786,School
32995,Performing Arts
3228,Gag Humor
3228,Parody
3228,School
41389,
31098,Mythology
532,Mahou Shoujo
2924,
31339,Adult Cast
31339,Gore
31339,Historical
31339,Isekai
31339,Military
31339,Samurai
2829,Historical
14719,Historical
14719,Vampire
49828,Mecha
49828,School
49828,Space
3572,Mecha
3572,Military
3572,Music
3572,Space
957,Historical
957,Reverse Harem
24,Gag Humor
24,Love Polygon
24,School
10080,Harem
10080,Otaku Culture
1695,Historical
36563,Adult Cast
36563,Combat Sports
2159,Team Sports
20057,Adult Cast
20057,Space
2158,Military
2158,Space
31964,School
31964,Super Power
7645,Mahou Shoujo
36028,Adult Cast
36028,Historical
36028,Military
934,Gore
934,Psychological
36593,Mahou Shoujo
1594,Psychological
35075,Mythology
52976,Gore
52976,Military
51680,Iyashikei
55742,Mythology
569,Adult Cast
569,Military
569,Parody
569,Space
54918,Delinquents
54918,Time Travel
22,School
6377,Gag Humor
6377,Parody
6377,School
35507,Psychological
35507,School
9513,Childcare
9513,Delinquents
9513,Mythology
9513,School
37435,Music
48702,Performing Arts
2828,Historical
249,Historical
249,Love Polygon
249,Mythology
249,Time Travel
42745,CGDCT
42745,Mahou Shoujo
42745,School
25517,
322,School
322,Visual Arts
2605,Gag Humor
2605,Parody
2605,School
9941,Adult Cast
9941,Super Power
37029,Mythology
5680,CGDCT
5680,Music
5680,School
39534,Mythology
39534,School
31741,
795,Psychological
795,School
400,Space
11123,Adult Cast
11123,Workplace
3588,School
52093,Adult Cast
17909,Mythology
53126,Video Game
6586,School
849,School
32093,Iyashikei
32093,School
52305,School
890,Mecha
890,Super Power
32998,Historical
32998,Organized Crime
39195,Anthropomorphic
39195,Psychological
39195,School
388,Racing
23289,Otaku Culture
23289,School
267,Adult Cast
267,Gore
267,Organized Crime
267,Super Power
3604,CGDCT
3604,Iyashikei
3604,School
3604,Visual Arts
40046,Adult Cast
40046,Detective
40046,Psychological
4087,
39575,Childcare
12445,School
6582,Gag Humor
6582,Parody
6582,Super Power
10521,Romantic Subtext
10521,Workplace
12403,CGDCT
12403,Gag Humor
12403,School
31478,Adult Cast
31478,Detective
31478,Organized Crime
31478,Super Power
2035,Historical
49220,Adult Cast
49220,Isekai
49220,Otaku Culture
49220,Parody
1485,Childcare
46352,School
46352,Visual Arts
2471,Anthropomorphic
40956,Super Power
28669,Mahou Shoujo
28669,School
2762,School
253,Gag Humor
253,School
33489,School
34745,Parody
49784,Isekai
49784,Mythology
49784,School
50739,School
1172,
202,
21185,School
1472,
12413,Organized Crime
42670,
34451,Super Power
34451,Vampire
97,
51297,
397,Military
397,Space
43439,
45055,Historical
22319,Gore
22319,Psychological
40935,Anthropomorphic
40935,Psychological
40935,School
1491,Space
283,Historical
966,School
41461,Harem
41461,Mecha
41461,School
29787,CGDCT
29787,Iyashikei
29787,Workplace
49738,Historical
49738,Samurai
20431,Mythology
3545,Adult Cast
3545,Detective
3545,Gag Humor
48849,Isekai
48849,Super Power
80,Mecha
80,Military
80,Space
49776,Childcare
49776,Organized Crime
1425,Adult Cast
19111,Idols (Female)
19111,Music
19111,School
13203,Adult Cast
13203,Samurai
7588,Adult Cast
7588,Historical
7588,Samurai
552,Isekai
31433,Adult Cast
31433,Military
31433,Space
21877,Love Polygon
21877,Romantic Subtext
21877,School
21877,Video Game
26,Psychological
95,Mecha
95,Military
95,Space
3750,School
35073,Isekai
210,Magical Sex Shift
210,Martial Arts
30727,Harem
30727,Otaku Culture
30727,School
30123,
31733,Mahou Shoujo
31733,Mythology
1571,
29095,Harem
29095,Psychological
28999,School
28999,Super Power
1473,
2508,Adult Cast
2508,Otaku Culture
2508,Parody
5630,Adult Cast
32673,Anthropomorphic
32673,Childcare
32673,Iyashikei
39196,Isekai
39196,Mythology
39196,School
353,Mahou Shoujo
1254,Mythology
154,Super Power
93,Mecha
93,Military
93,Space
11887,Love Polygon
11887,School
4080,Isekai
1887,CGDCT
1887,Gag Humor
1887,Otaku Culture
1887,School
52955,Mythology
709,Survival
39940,School
1818,Gore
40906,
1281,
17895,Adult Cast
17895,Love Polygon
15809,Mythology
15809,Romantic Subtext
15809,Workplace
43691,Performing Arts
43691,School
1279,Historical
5005,Gag Humor
5005,Parody
5005,Super Power
1293,
407,Detective
18153,School
8795,Gag Humor
8795,Parody
31592,
7724,Gore
7724,Psychological
7724,Vampire
534,
37924,School
530,Mahou Shoujo
530,Mythology
38145,Adult Cast
38145,Pets
6033,Martial Arts
6033,Super Power
47164,
19319,Mecha
740,Mahou Shoujo
740,Mythology
31637,Isekai
31637,Military
47160,Gore
10357,
8311,
50273,High Stakes Game
50273,Psychological
50273,Strategy Game
479,Super Power
1562,Reverse Harem
50203,Idols (Female)
50203,Music
50203,School
24893,Mecha
24893,Space
19703,
9074,
6024,Pets
14741,School
51916,Adult Cast
51916,Anthropomorphic
38671,Super Power
33899,Idols (Male)
33899,Music
38619,CGDCT
38619,Gag Humor
38619,School
4814,
2582,Mecha
2582,Military
2582,Space
5074,
51536,Idols (Female)
51536,Music
43523,Isekai
1000,Space
40620,Adult Cast
40620,Gag Humor
40620,Showbiz
40620,Workplace
34284,Mahou Shoujo
35860,Romantic Subtext
35860,School
34914,Adult Cast
34914,CGDCT
34914,Otaku Culture
34914,Workplace
32370,Mythology
32370,Super Power
5835,Reverse Harem
5231,Super Power
5231,Team Sports
8426,Crossdressing
8426,School
48553,CGDCT
48553,School
39959,School
120,Love Polygon
120,School
28907,Isekai
28907,Military
36094,Iyashikei
50608,Delinquents
50608,Time Travel
1375,Historical
1375,School
516,Mecha
516,Parody
48916,Idols (Female)
48916,Music
48916,School
51678,CGDCT
51678,Magical Sex Shift
51678,School
50613,Historical
50613,Samurai
32491,Pets
324,Detective
324,Mecha
35240,Historical
20847,Gag Humor
20847,School
90,Mecha
90,Military
90,Space
7193,Historical
7193,Psychological
477,Iyashikei
8516,Love Polygon
8516,School
8516,Super Power
22777,Martial Arts
22777,Super Power
53716,Mahou Shoujo
40357,Isekai
53446,Isekai
34445,Mahou Shoujo
2451,Adult Cast
2451,Space
182,Isekai
182,Love Polygon
182,Mecha
182,Psychological
6213,Super Power
323,Detective
323,Psychological
2547,Historical
2104,Organized Crime
2104,Parody
2104,School
5485,Mecha
5485,Super Power
35503,Music
35503,Performing Arts
35503,School
33502,
37956,Otaku Culture
37956,School
3841,Pets
13535,Gag Humor
13535,Parody
4192,Harem
4192,Parody
38101,Harem
38101,School
48804,Isekai
48804,Workplace
28249,Historical
28249,Military
33337,Adult Cast
33337,Detective
21405,Romantic Subtext
21405,School
33354,Mahou Shoujo
233,Childcare
8687,Anthropomorphic
12883,
36653,School
8525,Harem
8525,Otaku Culture
10460,School
4898,Historical
4898,Mythology
50695,Racing
9510,Gag Humor
9510,School
23755,
5530,
396,Military
396,Space
31227,
2963,CGDCT
2963,School
14511,CGDCT
14511,School
31764,Military
22043,
31859,Isekai
6956,Romantic Subtext
6956,Workplace
31783,Racing
39071,CGDCT
39071,Mahou Shoujo
39071,School
12021,Pets
36513,Adult Cast
36513,Iyashikei
36513,Workplace
9926,Adult Cast
9926,Workplace
19775,Mecha
19775,Space
32717,Idols (Female)
32717,Music
32717,School
21995,Love Polygon
21995,School
39681,Idols (Female)
39681,Music
39681,School
874,Isekai
74,Love Polygon
74,School
74,Super Power
34542,Gore
34542,Psychological
42625,Mythology
14941,Idols (Female)
14941,Music
1239,Mahou Shoujo
52229,
32979,Mahou Shoujo
240,Adult Cast
240,Otaku Culture
240,Parody
488,CGDCT
488,Iyashikei
852,Visual Arts
48491,CGDCT
48491,Iyashikei
251,Isekai
1412,Adult Cast
1915,Mahou Shoujo
444,School
290,Military
290,Space
18119,Adult Cast
18119,Workplace
32792,Mecha
32792,Military
32792,Space
28927,Military
28927,Vampire
32729,Love Polygon
32729,School
32729,Time Travel
65,
582,Gag Humor
582,Martial Arts
582,School
21843,Mythology
32977,Anthropomorphic
32977,Music
32977,Workplace
52193,Organized Crime
150,Gore
150,Military
150,Vampire
951,
60,Historical
60,Mythology
345,Historical
22265,School
24765,Psychological
24765,School
24765,Survival
25649,
54842,Visual Arts
53526,Anthropomorphic
856,
30549,Mecha
30549,Military
6444,
10278,Idols (Female)
10278,Music
2557,Childcare
2557,Historical
2557,Music
18245,Love Polygon
18245,Music
43299,Psychological
331,
7592,Mythology
35067,Gag Humor
35067,Parody
30240,Gag Humor
30240,School
32836,Idols (Female)
32836,Music
47257,Romantic Subtext
1690,Mecha
1690,Psychological
1690,Survival
32948,Adult Cast
32948,Workplace
123,Historical
123,Isekai
123,Martial Arts
123,Reverse Harem
18055,Mythology
54362,Gore
160,Isekai
160,Military
228,Psychological
3713,Psychological
37869,Music
71,Mecha
71,Military
36704,School
50425,Love Polygon
50425,School
106,Love Polygon
106,School
22101,
1650,Adult Cast
1650,Military
1650,Space
24439,Super Power
24439,Vampire
1606,Mythology
35079,
5494,Historical
1483,Adult Cast
1483,Historical
42351,Adult Cast
42351,Romantic Subtext
42351,Workplace
145,School
2985,Detective
2985,Mythology
1699,Historical
49858,Romantic Subtext
41433,Adult Cast
41433,Gore
1946,Historical
110,
