anime_id,url,title,title_english,source,episodes,status,aired start,aired finish,duration(minutes per episode),rating,score,scored by (#users),rank,popularity(rank),season,calculated year,year,broadcast day,producers,studios,genres,theme,demographic,members
5039,https://myanimelist.net/anime/5039/Kurozuka,Kurozuka,Kurozuka,Manga,12,Finished Airing,10/7/2008,12/23/2008,23,R - 17+ (violence & profanity),6.86,32045,4719,2044,fall,2008,2008,Tuesdays,Sony Pictures Entertainment,Madhouse,"Action, Drama, Horror, Romance, Sci-Fi","Gore, Historical, Samurai, Vampire",Seinen,95731
31442,https://myanimelist.net/anime/31442/Musaigen_no_Phantom_World,Musaigen no Phantom World,Myriad Colors Phantom World,Light novel,13,Finished Airing,1/7/2016,3/31/2016,24,PG-13 - Teens 13 or older,6.86,238714,4722,396,winter,2016,2016,Thursdays,"Lantis, Pony Canyon, Asahi Broadcasting",Kyoto Animation,"Action, Comedy, Fantasy, Ecchi","Harem, School",NA,532078
50923,https://myanimelist.net/anime/50923/Mushikaburi-hime,Mushikaburi-hime,Bibliophile Princess,Light novel,12,Finished Airing,10/6/2022,12/22/2022,23,PG-13 - Teens 13 or older,6.86,22389,4723,2563,fall,2022,2022,Thursdays,"AT-X, Tokyo MX, Kansai Telecasting, Ichijinsha, BS NTV, Kadokawa",Madhouse,"Drama, Fantasy, Romance",NA,Josei,66345
39539,https://myanimelist.net/anime/39539/No_Guns_Life,No Guns Life,No Guns Life,Manga,12,Finished Airing,10/11/2019,12/27/2019,24,PG-13 - Teens 13 or older,6.86,73347,4727,1192,fall,2019,2019,Fridays,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Madhouse,"Action, Drama, Sci-Fi",NA,Seinen,190490
592,https://myanimelist.net/anime/592/PopoloCrois,PopoloCrois,,Game,26,Finished Airing,10/5/2003,3/28/2004,23,PG - Children,6.86,671,4730,10745,fall,2003,2003,Unknown,"Tokyo Movie Shinsha, Tohokushinsha Film Corporation",TMS Entertainment,"Adventure, Fantasy",NA,NA,2088
11835,https://myanimelist.net/anime/11835/Qin_Shi_Mingyue__Zhu_Zi_Bai_Jia,Qin Shi Mingyue: Zhu Zi Bai Jia,Qin's Moon: Hundred Schools of Thought,Novel,34,Finished Airing,6/10/2011,8/1/2011,22,PG-13 - Teens 13 or older,6.86,368,4732,11839,summer,2011,2011,Unknown,Unknown,Sparkly Key Animation Studio,"Action, Fantasy","Historical, Martial Arts",NA,1412
33019,https://myanimelist.net/anime/33019/Reikenzan__Eichi_e_no_Shikaku,Reikenzan: Eichi e no Shikaku,,Light novel,12,Finished Airing,1/8/2017,3/26/2017,24,PG-13 - Teens 13 or older,6.86,18344,4733,3193,winter,2017,2017,Sundays,"Haoliners Animation League, Tencent Animation & Comics",Studio Deen,"Comedy, Fantasy",NA,NA,44258
1214,https://myanimelist.net/anime/1214/Binbou_Shimai_Monogatari,Binbou Shimai Monogatari,,Manga,10,Finished Airing,6/30/2006,9/15/2006,24,G - All Ages,6.86,6813,4738,4548,summer,2006,2006,Fridays,TV Asahi,Toei Animation,"Comedy, Drama, Slice of Life",Iyashikei,Seinen,21365
49819,https://myanimelist.net/anime/49819/Cardfight_Vanguard__will_Dress,Cardfight!! Vanguard: will+Dress,Cardfight!! Vanguard: will+Dress,Original,13,Finished Airing,7/5/2022,9/27/2022,24,PG-13 - Teens 13 or older,6.86,1644,4739,7607,summer,2022,2022,Tuesdays,Bushiroad,"Kinema Citrus, GIFTanimation, Studio Jemi",Action,Strategy Game,NA,5929
53494,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,My Daughter Left the Nest and Returned an S-Rank Adventurer,Light novel,13,Currently Airing,10/6/2023,,23,PG-13 - Teens 13 or older,6.87,4029,4739,3507,fall,2023,2023,Fridays,"Bushiroad, NBCUniversal Entertainment Japan, Bushiroad Move",Typhoon Graphics,"Action, Adventure, Fantasy",NA,NA,37409
8394,https://myanimelist.net/anime/8394/Cyborg_009_TV,Cyborg 009 (TV),Cyborg 009,Manga,26,Finished Airing,4/5/1968,9/27/1968,24,PG-13 - Teens 13 or older,6.86,2077,4742,7395,spring,1968,1968,Unknown,Unknown,Toei Animation,"Action, Adventure, Sci-Fi",Mecha,Shounen,6391
10155,https://myanimelist.net/anime/10155/Dog_Days,Dog Days,,Original,13,Finished Airing,4/2/2011,6/25/2011,24,PG-13 - Teens 13 or older,6.86,86121,4743,1223,spring,2011,2011,Unknown,"Aniplex, Good Smile Company",Seven Arcs,"Action, Adventure, Fantasy",Isekai,NA,186213
16385,https://myanimelist.net/anime/16385/Dog_Days,Dog Days'',,Original,12,Finished Airing,1/11/2015,3/29/2015,23,PG-13 - Teens 13 or older,6.86,33446,4744,2402,winter,2015,2015,Unknown,"Aniplex, Starchild Records, Bandai Namco Games, Glovision",Seven Arcs Pictures,"Action, Adventure, Fantasy",Isekai,NA,73364
3053,https://myanimelist.net/anime/3053/Ganbare_Kickers,Ganbare! Kickers,Fight! Kickers,Manga,23,Finished Airing,10/15/1986,3/25/1987,23,G - All Ages,6.86,5876,4748,6332,fall,1986,1986,Unknown,Nippon Television Network,Pierrot,Sports,Team Sports,Kids,9427
5155,https://myanimelist.net/anime/5155/Genji_Monogatari_Sennenki,Genji Monogatari Sennenki,Millennium Old Journal: Tale of Genji,Novel,11,Finished Airing,1/16/2009,3/27/2009,22,PG-13 - Teens 13 or older,6.86,3555,4749,5322,winter,2009,2009,Fridays,"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment","TMS Entertainment, Tezuka Productions","Drama, Romance",Historical,NA,14433
21431,https://myanimelist.net/anime/21431/Gokukoku_no_Brynhildr,Gokukoku no Brynhildr,Brynhildr in the Darkness,Manga,13,Finished Airing,4/6/2014,6/29/2014,23,R+ - Mild Nudity,6.86,165659,4749,676,spring,2014,2014,Sundays,VAP,Arms,"Drama, Mystery, Sci-Fi","Gore, Harem, Super Power",Seinen,331855
